Status,Application Creation Date,Approved / Refused Date,Recorded / Rejected Date,Water Share ID,Water System Source,Reliability,Trading Zone Source,Seller Water Authority,Seller Trading Zone Use,Buyer Water Authority,Buyer Trading Zone Use,Volume Traded (ML),Price Per ML ($),Create_date,Create_date_ordinal,Cluster
Recorded,07/09/2009,08/09/2009,08/10/2009,WEE****23,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,57.0,2200.0,2009-09-07,733657,0
Recorded,23/10/2023,29/10/2023,15/11/2023,WEE****22,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,5.0,6905.0,2023-10-23,738816,0
Recorded,14/06/2022,29/06/2022,06/07/2022,WEE****87,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,16.6,8000.0,2022-06-14,738320,0
Recorded,10/01/2020,22/01/2020,12/02/2020,WEE****59,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,2.0,4500.0,2020-01-10,737434,0
Recorded,10/05/2013,28/05/2013,20/06/2013,WEE****29,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,21.7,1800.0,2013-05-10,734998,0
Recorded,18/09/2015,28/09/2015,07/10/2015,WEE****63,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,9.0,2250.0,2015-09-18,735859,0
Recorded,25/07/2012,01/08/2012,21/09/2012,WEE****88,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,1.0,1500.0,2012-07-25,734709,0
Recorded,17/11/2010,24/11/2010,19/01/2011,WEE****95,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,10.0,2000.0,2010-11-17,734093,0
Recorded,28/04/2016,06/05/2016,17/06/2016,WEE****85,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,495.0,3000.0,2016-04-28,736082,0
Recorded,09/12/2011,22/12/2011,16/02/2012,WEE****73,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,80.0,1890.0,2011-12-09,734480,0
Recorded,14/02/2020,17/02/2020,02/03/2020,WEE****40,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,37.6,2800.0,2020-02-14,737469,0
Recorded,30/04/2021,07/05/2021,15/05/2021,WEE****32,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,1.0,6000.0,2021-04-30,737910,0
Recorded,18/03/2014,24/03/2014,09/04/2014,WEE****06,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,1.0,1300.0,2014-03-18,735310,0
Recorded,17/08/2009,17/08/2009,05/10/2009,WEE****89,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,197.0,2400.0,2009-08-17,733636,0
Recorded,03/02/2017,08/02/2017,14/03/2017,WEE****62,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,2.0,0.5,2017-02-03,736363,-1
Recorded,18/08/2020,18/08/2020,01/10/2020,WEE****85,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,1.5,3500.0,2020-08-18,737655,0
Recorded,24/06/2020,24/06/2020,24/08/2020,WEE****72,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,3.0,3000.0,2020-06-24,737600,0
Recorded,12/10/2022,24/10/2022,04/11/2022,WEE****08,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,10.0,7765.0,2022-10-12,738440,0
Recorded,08/03/2013,14/03/2013,09/04/2013,WEE****87,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,2.0,1300.0,2013-03-08,734935,0
Recorded,23/05/2019,28/05/2019,25/06/2019,WEE****43,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,1.9,3200.0,2019-05-23,737202,0
Recorded,08/11/2017,13/11/2017,04/12/2017,WEE****50,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,18.0,3350.0,2017-11-08,736641,0
Recorded,29/05/2019,30/05/2019,14/06/2019,WEE****98,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,5.0,5350.0,2019-05-29,737208,0
Recorded,29/07/2009,29/07/2009,25/09/2009,WEE****74,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,15.0,2400.0,2009-07-29,733617,0
Recorded,02/10/2014,21/10/2014,25/11/2014,WEE****25,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,15.0,1600.0,2014-10-02,735508,0
Recorded,17/10/2012,27/11/2012,02/01/2013,WEE****77,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,4.5,1500.0,2012-10-17,734793,0
Recorded,19/05/2015,19/05/2015,16/07/2015,WEE****24,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,3.0,1750.0,2015-05-19,735737,0
Recorded,04/12/2019,19/12/2019,29/01/2020,WEE****69,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,2.0,7500.0,2019-12-04,737397,-1
Recorded,29/07/2016,30/07/2016,22/09/2016,WEE****51,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,10.0,3000.0,2016-07-29,736174,0
Recorded,30/05/2022,07/06/2022,25/07/2022,WEE****79,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,50.0,8000.0,2022-05-30,738305,0
Recorded,15/01/2018,17/01/2018,01/02/2018,WEE****44,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,45.0,3372.0,2018-01-15,736709,0
Recorded,22/03/2023,30/03/2023,13/04/2023,WEE****29,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,7.0,7650.0,2023-03-22,738601,0
Recorded,17/12/2009,21/12/2009,04/02/2010,WEE****10,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,170.0,2400.0,2009-12-17,733758,0
Recorded,03/09/2019,06/09/2019,16/10/2019,WEE****70,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,1.0,3000.0,2019-09-03,737305,0
Recorded,17/09/2020,27/09/2020,08/10/2020,WEE****87,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,10.0,6210.0,2020-09-17,737685,0
Recorded,05/06/2015,15/06/2015,06/07/2015,WEE****05,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,3.0,2000.0,2015-06-05,735754,0
Recorded,07/12/2017,11/12/2017,11/01/2018,WEE****80,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,56.0,3450.0,2017-12-07,736670,0
Recorded,18/08/2023,30/08/2023,25/10/2023,WEE****47,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,17.0,4000.0,2023-08-18,738750,-1
Recorded,19/03/2013,20/03/2013,18/04/2013,WEE****69,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,1.5,2000.0,2013-03-19,734946,0
Recorded,14/11/2018,28/11/2018,04/12/2018,WEE****62,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,2.4,4500.0,2018-11-14,737012,0
Recorded,24/04/2018,23/05/2018,31/05/2018,WEE****62,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,4.0,3520.0,2018-04-24,736808,0
Recorded,16/09/2020,24/09/2020,16/10/2020,WEE****97,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,4.2,5000.0,2020-09-16,737684,0
Recorded,01/09/2014,15/09/2014,03/10/2014,WEE****18,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,92.0,1434.78,2014-09-01,735477,0
Recorded,15/01/2021,21/01/2021,19/03/2021,WEE****74,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,2.0,6000.0,2021-01-15,737805,0
Recorded,29/11/2018,29/11/2018,19/12/2018,WEE****86,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,2.0,4500.0,2018-11-29,737027,0
Recorded,21/07/2011,29/07/2011,20/09/2011,WEE****50,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,140.0,1850.0,2011-07-21,734339,0
Recorded,18/04/2018,02/05/2018,05/06/2018,WEE****54,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,326.0,3400.0,2018-04-18,736802,0
Recorded,09/10/2012,09/10/2012,06/12/2012,WEE****67,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,43.0,1502.33,2012-10-09,734785,0
Recorded,29/07/2011,29/07/2011,21/09/2011,WEE****72,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,10.0,1650.0,2011-07-29,734347,0
Recorded,04/02/2021,05/02/2021,19/03/2021,WEE****01,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,15.0,6250.0,2021-02-04,737825,0
Recorded,02/12/2021,14/12/2021,10/01/2022,WEE****64,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,4.4,7105.0,2021-12-02,738126,0
Recorded,25/06/2018,26/06/2018,28/06/2018,WEE****77,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,57.0,3450.0,2018-06-25,736870,0
Recorded,28/07/2009,28/07/2009,11/08/2009,WEE****51,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,3.0,2400.0,2009-07-28,733616,0
Recorded,11/12/2017,11/12/2017,12/01/2018,WEE****39,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,1.0,2800.0,2017-12-11,736674,0
Recorded,16/02/2012,21/02/2012,27/03/2012,WEE****42,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,3.5,1500.0,2012-02-16,734549,0
Recorded,21/03/2016,25/03/2016,19/04/2016,WEE****28,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,100.0,3200.0,2016-03-21,736044,0
Recorded,07/04/2021,08/04/2021,07/06/2021,WEE****78,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,10.0,4000.0,2021-04-07,737887,-1
Recorded,23/05/2012,31/05/2012,20/06/2012,WEE****14,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,97.7,1300.0,2012-05-23,734646,0
Recorded,18/08/2017,31/08/2017,03/10/2017,WEE****23,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,19.5,3000.0,2017-08-18,736559,0
Recorded,09/12/2014,23/12/2014,12/01/2015,WEE****95,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,25.0,1800.0,2014-12-09,735576,0
Recorded,10/05/2011,03/06/2011,26/07/2011,WEE****39,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,20.0,1500.0,2011-05-10,734267,0
Recorded,14/06/2012,14/06/2012,27/06/2012,WEE****63,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,31.8,1100.0,2012-06-14,734668,0
Recorded,07/02/2024,13/02/2024,21/02/2024,WEE****21,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,1.5,7500.0,2024-02-07,738923,0
Recorded,13/01/2016,14/01/2016,16/02/2016,WEE****06,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,25.0,3000.0,2016-01-13,735976,0
