Status,Application Creation Date,Approved / Refused Date,Recorded / Rejected Date,Water Share ID,Water System Source,Reliability,Trading Zone Source,Seller Water Authority,Seller Trading Zone Use,Buyer Water Authority,Buyer Trading Zone Use,Volume Traded (ML),Price Per ML ($),Create_date,Create_date_ordinal,Cluster
Recorded,2014-12-19,30/12/2014,11/02/2015,WEE****57,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,2.0,1300.0,2014-12-19,735586,0
Recorded,2015-10-13,20/10/2015,18/12/2015,WEE****97,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,6.3,2500.0,2015-10-13,735884,0
Recorded,2011-04-10,11/10/2011,22/11/2011,WEE****23,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,556.0,1850.0,2011-04-10,734237,0
Recorded,2010-02-11,06/01/2011,03/03/2011,WEE****63,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,2.0,0.0,2010-02-11,733814,1
Recorded,2015-04-17,19/04/2015,17/06/2015,WEE****44,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,3.0,1400.0,2015-04-17,735705,0
Recorded,2009-12-11,13/11/2009,02/12/2009,WEE****88,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,2.0,2400.0,2009-12-11,733752,0
Recorded,2010-12-21,21/12/2010,28/01/2011,WEE****67,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,5.0,1500.0,2010-12-21,734127,0
Recorded,2011-01-02,01/02/2011,01/03/2011,WEE****58,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,68.0,1925.0,2011-01-02,734139,0
Recorded,2011-07-01,17/01/2011,07/02/2011,WEE****14,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,10.0,1600.0,2011-07-01,734319,0
Recorded,2015-01-06,02/06/2015,25/06/2015,WEE****16,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,10.0,2000.0,2015-01-06,735604,0
Recorded,2014-02-24,13/03/2014,09/04/2014,WEE****70,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,161.0,0.0,2014-02-24,735288,1
Recorded,2019-07-01,10/01/2019,31/01/2019,WEE****07,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,66.0,3500.0,2019-07-01,737241,0
Recorded,2014-06-25,25/06/2014,22/07/2014,WEE****65,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,72.0,1400.0,2014-06-25,735409,0
Recorded,2023-09-01,10/01/2023,24/01/2023,WEE****39,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,34.0,7800.0,2023-09-01,738764,0
Recorded,2009-07-31,31/07/2009,22/09/2009,WEE****49,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,227.4,2315.0,2009-07-31,733619,0
