Status,Application Creation Date,Approved / Refused Date,Recorded / Rejected Date,Water Share ID,Water System Source,Reliability,Trading Zone Source,Seller Water Authority,Seller Trading Zone Use,Buyer Water Authority,Buyer Trading Zone Use,Volume Traded (ML),Price Per ML ($),Create_date,Create_date_ordinal,Cluster
Recorded,2014-04-15,12/06/2014,08/07/2014,WEE****74,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,2.0,0.0,2014-04-15,735338,1
Recorded,2012-06-26,30/07/2012,22/08/2012,WEE****89,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,122.5,0.0,2012-06-26,734680,1
Recorded,2016-05-02,10/02/2016,09/03/2016,WEE****10,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,15.0,1950.0,2016-05-02,736086,0
Recorded,2010-12-01,27/01/2010,26/03/2010,WEE****52,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,2.0,2000.0,2010-12-01,734107,0
Recorded,2013-05-30,11/07/2013,07/08/2013,WEE****16,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,200.0,0.0,2013-05-30,735018,1
Recorded,2016-12-10,20/10/2016,29/11/2016,WEE****68,Goulburn,Low,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,500.0,250.0,2016-12-10,736308,1
Recorded,2015-02-06,04/06/2015,15/07/2015,WEE****33,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,143.0,2200.0,2015-02-06,735635,0
Recorded,2012-08-11,13/11/2012,07/12/2012,WEE****46,Goulburn,Low,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,50.0,130.0,2012-08-11,734726,1
Recorded,2014-07-17,31/07/2014,15/08/2014,WEE****07,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,10.5,1450.0,2014-07-17,735431,0
Recorded,2022-02-16,25/02/2022,26/03/2022,WEE****61,Goulburn,Low,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,14.4,0.0,2022-02-16,738202,1
Recorded,2017-10-07,12/07/2017,08/09/2017,WEE****50,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,5.1,2800.0,2017-10-07,736609,0
Recorded,2011-01-20,24/01/2011,18/02/2011,WEE****80,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,2.0,1500.0,2011-01-20,734157,0
Recorded,2013-02-18,20/02/2013,20/03/2013,WEE****50,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,85.0,1850.0,2013-02-18,734917,0
Recorded,2010-12-15,15/12/2010,02/02/2011,WEE****67,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,37.9,0.0,2010-12-15,734121,1
Recorded,2022-12-19,20/12/2022,14/02/2023,WEE****65,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,100.0,4132.0,2022-12-19,738508,0
Recorded,2022-02-09,15/09/2022,28/09/2022,WEE****36,Goulburn,Low,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,0.5,100.0,2022-02-09,738195,1
Recorded,2023-07-20,04/08/2023,22/08/2023,WEE****80,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,24.4,3895.0,2023-07-20,738721,0
