Total Traded Volume (ML),Volume Weighted Average Price ($),Date
6261.099999999999,1447.2555142067688,2015-04-01
4669.400000000001,1495.7823274938962,2015-05-01
4172.499999999999,1232.8649838226484,2015-06-01
2939.2000000000003,2142.4007015514426,2015-07-01
3664.2000000000003,2125.474017247967,2015-08-01
5077.599999999999,1068.927495667244,2015-09-01
1977.3,1971.1290097607848,2015-10-01
2104.5,2344.388210976479,2015-11-01
2013.5,1743.9981127390117,2015-12-01
3334.500000000001,1943.4781910331378,2016-01-01
5835.599999999999,2382.5224484200426,2016-02-01
7637.900000000001,2655.666198169654,2016-03-01
2236.6000000000004,1461.5272234641864,2016-04-01
2120.1,1744.7342172539031,2016-05-01
4126.9,2233.5353776442366,2016-06-01
1248.5,1730.0160192230676,2016-07-01
3707.1,1866.5021218742413,2016-08-01
8513.599999999999,815.6459664536743,2016-09-01
4626.8,1885.2391125615975,2016-10-01
3156.3,2113.5291239742733,2016-11-01
11855.499999999996,559.1903729070897,2016-12-01
3518.1000000000004,1980.6640919814668,2017-01-01
2756.4,1241.9415879407923,2017-02-01
2505.7,2403.394994213194,2017-03-01
1571.2000000000003,1462.904733324847,2017-04-01
2685.7,1962.6935614551144,2017-05-01
4266.6,2132.0102657854027,2017-06-01
2191.2999999999997,2557.347133664948,2017-07-01
3531.1,2522.1457888476684,2017-08-01
1423.2,1425.1467467678472,2017-09-01
2227.7,1927.7438434259552,2017-10-01
4267.4,2343.7251722360224,2017-11-01
1944.5000000000002,2130.593106196966,2017-12-01
2411.6,2011.1376264720518,2018-01-01
1900.5,1701.1049592212576,2018-02-01
1467.9999999999998,2925.356737057221,2018-03-01
2167.7999999999997,1583.9837987821757,2018-04-01
2509.0,2759.302229573535,2018-05-01
4543.6,3155.475402544238,2018-06-01
1279.2999999999997,2263.394074884703,2018-07-01
3467.6000000000004,1571.7216518629598,2018-08-01
1133.0,2028.9276434245367,2018-09-01
1489.6000000000001,2293.144803974221,2018-10-01
4596.9,2832.7158987578587,2018-11-01
3205.0,1584.577627457098,2018-12-01
4306.799999999999,1051.6013757314015,2019-01-01
3494.0,1544.396025186033,2019-02-01
2223.0999999999995,2343.554720885251,2019-03-01
2561.2999999999997,2441.6192948893145,2019-04-01
6270.900000000001,3072.066056546907,2019-05-01
3457.7,2663.430604158834,2019-06-01
1756.6,1208.292724581578,2019-07-01
1662.3000000000002,3143.518017205077,2019-08-01
2302.7000000000003,3336.075048421418,2019-09-01
2940.6,2837.7590838604365,2019-10-01
4976.6,1643.792368283567,2019-11-01
3070.2,1352.711952641522,2019-12-01
1238.6999999999998,2646.941147977719,2020-01-01
1275.4,2865.2501176101614,2020-02-01
1550.2000000000003,2277.7035182557083,2020-03-01
3439.5000000000005,820.5955246402094,2020-04-01
2833.2000000000003,669.8856346180996,2020-05-01
805.1,2753.0418829959012,2020-06-01
724.0,2614.40176519337,2020-07-01
1527.8,2990.365881659903,2020-08-01
1987.3999999999999,3410.8045838784346,2020-09-01
2360.1,1407.013262149909,2020-10-01
14433.6,1309.0916294618112,2020-11-01
7146.5,376.7572879031694,2020-12-01
791.3000000000001,3892.417540755718,2021-01-01
1591.1000000000001,3140.07919049714,2021-02-01
1958.5999999999997,3886.334889206577,2021-03-01
1195.0,2429.166471129707,2021-04-01
3268.9,884.3269540212303,2021-05-01
4118.9000000000015,3255.94454830173,2021-06-01
807.5000000000001,1683.511295356037,2021-07-01
2193.3999999999996,2386.3226087352973,2021-08-01
1674.1,1941.281918642853,2021-09-01
614.1,2991.457417358736,2021-10-01
4951.4,693.7642961586622,2021-11-01
8592.4,485.72778920906853,2021-12-01
1098.1000000000001,1932.014312904107,2022-01-01
1859.6999999999998,3340.96682421896,2022-02-01
2673.1000000000004,2946.3753189181098,2022-03-01
2963.299999999999,3543.7699338575253,2022-04-01
4036.1000000000004,2042.0141502936,2022-05-01
3997.0,2947.388796597448,2022-06-01
340.7,3384.693278544174,2022-07-01
3715.4999999999995,2346.9686820078055,2022-08-01
2818.3000000000006,3192.9409672497595,2022-09-01
1939.0,2931.9755028365134,2022-10-01
2366.4,3330.404868576741,2022-11-01
980.7,2956.481084939329,2022-12-01
2346.6000000000004,3855.9630900025563,2023-01-01
1491.7000000000003,3758.6691586780175,2023-02-01
2976.1,3028.2137226571685,2023-03-01
1518.6000000000004,3240.307171078624,2023-04-01
3828.2,1920.4526973512357,2023-05-01
3646.8999999999996,1984.9716345389238,2023-06-01
1290.1999999999998,1563.4630289877541,2023-07-01
2609.1000000000004,2379.8903487792722,2023-08-01
2350.3000000000006,2331.0626303025138,2023-09-01
3026.3000000000006,3385.0358374913253,2023-10-01
3292.9000000000005,2919.6307206413794,2023-11-01
3961.4,2651.322289089716,2023-12-01
1808.4,3215.754247953992,2024-01-01
1682.5,2726.5646359583952,2024-02-01
3670.9000000000005,3976.7802173853815,2024-03-01
235.7,3319.5886550700043,2024-04-01
