Total Traded Volume (ML),Volume Weighted Average Price ($),Date
702.4000000000001,3308.714427676537,2018-06-01
377.8,2433.7349338274216,2018-07-01
510.19999999999993,3057.626368090945,2018-08-01
883.6000000000001,3464.8517541874144,2018-09-01
630.9,3563.233843715327,2018-10-01
282.8,1525.8840169731259,2018-11-01
3351.8,4440.132167790441,2018-12-01
739.1,4330.58336490326,2019-01-01
833.9999999999999,4104.298441247003,2019-02-01
260.1,5139.264129181084,2019-03-01
278.5,3771.4542190305206,2019-04-01
890.9,1895.7907733752386,2019-05-01
733.1999999999999,2470.676283415167,2019-06-01
628.4,1349.7771928707828,2019-07-01
357.5,4175.454523076924,2019-08-01
383.20000000000005,3157.6069545929017,2019-09-01
490.8,3102.6894865525674,2019-10-01
78253.2,5498.9985713044325,2019-11-01
745.6999999999999,4711.295427115462,2019-12-01
233.40000000000003,3462.347810625535,2020-01-01
582.0000000000001,5050.635738831614,2020-02-01
478.1,5339.887065467476,2020-03-01
578.6000000000001,5717.641043899065,2020-04-01
240.59999999999997,3877.909393183708,2020-05-01
1146.5,1776.2232882686437,2020-06-01
624.9,5750.52812449992,2020-07-01
494.29999999999995,4078.516839975723,2020-08-01
222.99999999999997,5702.685847533634,2020-09-01
235.60000000000002,6022.495810696095,2020-10-01
285.3,822.9933403434981,2020-11-01
79.00000000000001,2978.354430379746,2020-12-01
1686.6,6279.032965729871,2021-01-01
215.8,5771.269740500463,2021-02-01
401.29999999999995,3569.950236730626,2021-03-01
245.2,5622.716468189234,2021-04-01
184.60000000000002,5813.6511375947985,2021-05-01
337.49999999999994,4937.955555555556,2021-06-01
649.7000000000002,810.9281268277664,2021-07-01
499.80000000000007,6649.488663465385,2021-08-01
353.29999999999995,2670.8180016982737,2021-09-01
327.1,5121.75175787221,2021-10-01
2131.0,1904.4657231346787,2021-11-01
642.2,7743.639053254437,2021-12-01
813.1999999999999,559.886866699459,2022-01-01
489.29999999999995,3719.149805845085,2022-02-01
309.6,4620.536175710594,2022-03-01
265.70000000000005,6955.212803914187,2022-04-01
1269.1,6237.228587187771,2022-05-01
950.3999999999999,6782.396879208755,2022-06-01
676.3,4984.4001656069795,2022-07-01
1119.3999999999999,7733.73406378417,2022-08-01
735.8,6257.474338135363,2022-09-01
694.4,3498.9343317972352,2022-10-01
704.3000000000001,7777.22408064745,2022-11-01
243.9,7175.002004920049,2022-12-01
795.0,7671.968559748428,2023-01-01
386.0,6834.049196891192,2023-02-01
132.0,7620.170492424242,2023-03-01
735.3000000000001,7408.876806745546,2023-04-01
507.0,6175.591715976331,2023-05-01
929.1,5980.904113658379,2023-06-01
913.0,3727.958894852136,2023-07-01
574.3000000000001,6968.771016890126,2023-08-01
1029.0,7058.804876579204,2023-09-01
186.10000000000002,6878.7748522299835,2023-10-01
2808.1,6801.043413696094,2023-11-01
210.20000000000002,4242.245442435776,2023-12-01
224.7,5175.767556742323,2024-01-01
750.5999999999999,3245.9432454036773,2024-02-01
13.5,5618.592592592592,2024-03-01
14.6,6698.629863013699,2024-04-01
