Status,Application Creation Date,Approved / Refused Date,Recorded / Rejected Date,Water Share ID,Water System Source,Reliability,Trading Zone Source,Seller Water Authority,Seller Trading Zone Use,Buyer Water Authority,Buyer Trading Zone Use,Volume Traded (ML),Price Per ML ($),Create_date,Create_date_ordinal,Cluster
Recorded,2014-12-08,25/08/2014,17/09/2014,WEE****64,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,166.0,1443.98,2014-12-08,735575,0
Recorded,2016-07-20,21/07/2016,29/08/2016,WEE****46,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,328.5,2700.0,2016-07-20,736165,0
Recorded,2018-04-23,23/04/2018,10/05/2018,WEE****54,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,222.9,3290.0,2018-04-23,736807,0
Recorded,2012-12-11,13/11/2012,17/12/2012,WEE****88,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,1.0,1300.0,2012-12-11,734848,0
Recorded,2017-09-25,27/09/2017,16/10/2017,WEE****68,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,5.0,2650.0,2017-09-25,736597,0
Recorded,2015-01-06,10/06/2015,24/06/2015,WEE****70,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,134.0,2000.0,2015-01-06,735604,0
Recorded,2010-12-08,12/08/2010,29/09/2010,WEE****84,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,50.0,1600.0,2010-12-08,734114,0
Recorded,2019-06-19,25/06/2019,28/06/2019,WEE****46,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,100.0,5000.0,2019-06-19,737229,0
Recorded,2012-09-26,04/10/2012,18/10/2012,WEE****30,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,1.0,2500.0,2012-09-26,734772,0
Recorded,2010-06-17,18/06/2010,12/07/2010,WEE****47,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,20.0,2000.0,2010-06-17,733940,0
Recorded,2016-10-25,03/11/2016,23/11/2016,WEE****65,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,50.0,2500.0,2016-10-25,736262,0
Recorded,2019-02-20,26/02/2019,05/04/2019,WEE****96,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,297.0,4100.0,2019-02-20,737110,0
Recorded,2017-03-20,29/03/2017,24/04/2017,WEE****71,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,6.0,2450.0,2017-03-20,736408,0
Recorded,2011-12-08,15/08/2011,28/09/2011,WEE****63,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,170.0,1700.0,2011-12-08,734479,0
Recorded,2016-07-25,09/08/2016,06/10/2016,WEE****00,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,164.0,2800.0,2016-07-25,736170,0
Recorded,2010-05-11,09/11/2010,26/11/2010,WEE****65,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,2.0,900.0,2010-05-11,733903,0
Recorded,2014-12-23,30/12/2014,27/02/2015,WEE****88,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,56.0,1250.0,2014-12-23,735590,0
Recorded,2018-02-26,05/03/2018,20/03/2018,WEE****28,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,171.7,2910.0,2018-02-26,736751,0
Recorded,2019-02-26,08/03/2019,04/04/2019,WEE****40,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,348.8,3750.0,2019-02-26,737116,0
Recorded,2015-08-17,14/10/2015,11/12/2015,WEE****62,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,55.3,1700.0,2015-08-17,735827,0
