,date,mean_price,IQR_price,mean_volume,IQR_volume
83,2016-03-31,2291.6666666666665,200.0,74.58888888888889,15.0
84,2016-04-30,2309.8045454545454,485.0450000000001,28.1,42.85
85,2016-05-31,2436.3636363636365,400.0,30.40909090909091,15.5
86,2016-06-30,2590.0,150.0,78.0,98.0
87,2016-07-31,2642.8571428571427,150.0,97.58571428571429,140.55
88,2016-08-31,2625.0,225.0,25.5,11.125
89,2016-09-30,2535.855,213.75,104.13181818181819,126.25
90,2016-10-31,2419.4312,254.73999999999978,61.948,73.0
91,2016-11-30,2454.785,114.39499999999998,61.166666666666664,96.075
92,2016-12-31,2419.831818181818,91.03499999999985,31.89090909090909,32.95
93,2017-01-31,2534.9426315789474,247.5050000000001,107.68947368421053,89.2
94,2017-02-28,2404.1666666666665,193.75,44.5,14.25
95,2017-03-31,2518.5,125.0,69.64,106.6
96,2017-04-30,2644.6153846153848,40.0,92.4923076923077,96.9
97,2017-05-31,2542.9411764705883,150.0,214.27647058823527,208.7
98,2017-06-30,2544.6875,150.0,73.15625,103.375
99,2017-07-31,2565.0,125.0,31.310000000000002,30.65
100,2017-08-31,2596.818181818182,132.5,62.790909090909096,113.55000000000001
101,2017-09-30,2569.4444444444443,75.0,70.11111111111111,45.0
102,2017-10-31,2394.4444444444443,400.0,54.044444444444444,68.0
103,2017-11-30,2714.1176470588234,170.0,49.65882352941177,44.0
104,2017-12-31,2671.818181818182,150.0,28.59090909090909,26.0
105,2018-01-31,2710.1111111111113,455.0,74.14444444444445,70.0
106,2018-02-28,2842.241666666667,75.0,73.49166666666666,101.625
107,2018-03-31,2938.75,35.0,52.1875,101.05
108,2018-04-30,2925.3125,225.0,67.1375,80.125
109,2018-05-31,3087.8571428571427,132.5,48.721428571428575,47.94999999999999
110,2018-06-30,3270.2666666666664,402.5,55.86666666666667,93.775
111,2018-07-31,3190.0,600.0,55.15882352941177,87.4
112,2018-08-31,3277.2727272727275,325.0,28.354545454545452,35.0
113,2018-09-30,3298.256875,969.315,68.73125,72.825
114,2018-10-31,3616.9100000000003,375.5050000000001,110.58181818181819,137.6
115,2018-11-30,3369.7616666666668,801.9650000000001,85.39166666666667,14.375
116,2018-12-31,3760.7338888888894,952.7374999999997,155.1222222222222,174.14999999999998
117,2019-01-31,3925.0,272.5,61.58571428571429,83.5
118,2019-02-28,4013.8215789473684,325.0,106.89473684210526,179.9
119,2019-03-31,3868.384761904762,154.01999999999998,132.0,168.2
120,2019-04-30,4183.333333333333,0.0,24.933333333333334,26.0
121,2019-05-31,4477.499666666667,87.5,66.86666666666666,88.975
122,2019-06-30,4197.9624,850.0,43.356,73.5
123,2019-07-31,4063.6363636363635,1075.0,32.43636363636364,41.9
124,2019-08-31,4621.0526315789475,225.0,172.26315789473685,152.0
125,2019-09-30,4960.0,200.0,55.160000000000004,63.0
126,2019-10-31,5086.666666666667,125.0,69.16666666666667,71.975
127,2019-11-30,5174.444444444444,325.0,79.05555555555556,163.5
128,2019-12-31,4835.833333333333,775.0,9.416666666666666,15.875
129,2020-01-31,4988.888888888889,800.0,80.77777777777777,97.0
130,2020-02-29,4934.375,581.25,38.675000000000004,25.425
131,2020-03-31,4824.444444444444,500.0,73.43333333333334,8.0
132,2020-04-30,4580.0,500.0,1.44,0.8999999999999999
133,2020-05-31,4266.666666666667,500.0,78.74444444444445,126.5
134,2020-06-30,4725.0,525.0,7.25,6.25
135,2020-07-31,4237.5,162.5,4.025,1.5250000000000004
136,2020-08-31,4740.0,1000.0,66.36,76.0
137,2020-09-30,4330.0,200.0,43.72,83.025
138,2020-10-31,4420.0,400.0,82.43,105.9
139,2020-11-30,4450.0,150.0,79.0,5.0
140,2020-12-31,4349.428571428572,200.0,77.55714285714285,68.5
141,2021-01-31,4250.0,200.0,12.266666666666666,13.899999999999999
142,2021-02-28,4533.333333333333,112.5,5.5,4.0
143,2021-03-31,4378.909090909091,436.0,48.35454545454545,59.05
144,2021-04-30,4592.5,412.5,48.69,10.75
145,2021-05-31,4638.461538461538,200.0,165.42307692307693,217.0
146,2021-06-30,4760.0,325.0,12.16,11.5
147,2021-07-31,4628.125,325.0,57.3125,20.5
148,2021-08-31,4400.0,300.0,8.6,10.0
149,2021-09-30,4750.727272727273,46.0,43.06363636363637,45.0
150,2021-10-31,4550.0,300.0,49.9375,15.725000000000001
151,2021-11-30,4694.787619047619,364.15999999999985,16.276190476190475,14.6
152,2021-12-31,4750.907142857143,362.0,66.28095238095237,41.7
153,2022-01-31,4819.486666666667,112.60000000000036,17.526666666666664,19.349999999999998
154,2022-02-28,4992.36,172.28999999999996,54.784,43.4
155,2022-03-31,4917.7425,212.5,48.614999999999995,61.775
156,2022-04-30,5038.844705882353,100.0,61.45882352941176,94.4
157,2022-05-31,5040.909090909091,55.0,52.45454545454545,5.300000000000001
158,2022-06-30,4883.006666666666,100.0,82.45555555555555,28.0
159,2022-07-31,4584.615384615385,500.0,46.30769230769231,118.0
160,2022-08-31,4798.118571428572,325.2550000000001,46.81428571428571,47.75
161,2022-09-30,4994.6875,100.0,72.68125,67.92500000000001
162,2022-10-31,5078.326666666667,45.01000000000022,45.8,24.1
163,2022-11-30,5004.285714285715,235.0,61.32857142857143,57.0
164,2022-12-31,5045.0,150.0,104.47999999999999,92.2
165,2023-01-31,4911.538461538462,600.0,52.23846153846154,61.5
166,2023-02-28,4990.0,105.0,91.53333333333335,81.4
167,2023-03-31,5068.885555555556,50.0,44.0,74.0
168,2023-04-30,4806.0,250.0,39.44,34.2
169,2023-05-31,4960.0,100.0,40.72,41.5
170,2023-06-30,4955.555555555556,50.0,47.37777777777777,89.3
171,2023-07-31,5010.0,85.0,38.766666666666666,46.15
172,2023-08-31,4740.0,300.0,25.639999999999997,47.0
173,2023-09-30,4714.285714285715,500.0,7.214285714285714,8.25
174,2023-10-31,4700.0,500.0,70.2125,131.325
175,2023-11-30,4687.5,245.0,65.8375,91.125
176,2023-12-31,4646.666666666667,130.0,67.51111111111112,130.0
177,2024-01-31,4560.0,125.0,16.22,16.2
178,2024-02-29,4495.0,215.0,9.85,3.0999999999999996
179,2024-03-31,4585.0,15.0,139.5,40.5
