,date,mean,IQR
158,2022-06-30,4121.319795918367,190.0
159,2022-07-31,4223.702068965517,497.6399999999999
160,2022-08-31,4159.227083333333,196.25
161,2022-09-30,4156.51701754386,250.0
162,2022-10-31,4102.833333333333,193.75
163,2022-11-30,4054.85,100.0
164,2022-12-31,4100.315789473684,100.0
165,2023-01-31,4193.194166666666,187.5
166,2023-02-28,4076.6495652173912,125.0
167,2023-03-31,4112.849827586207,146.25
168,2023-04-30,4120.715263157895,145.0
169,2023-05-31,4059.581818181818,200.0
170,2023-06-30,3967.8571428571427,175.0
171,2023-07-31,4001.732195121951,100.0
172,2023-08-31,4090.3030303030305,600.0
173,2023-09-30,4000.8928571428573,230.0
174,2023-10-31,3984.3519402985075,174.8050000000003
175,2023-11-30,4026.5714285714284,150.0
176,2023-12-31,4006.7495000000004,100.0
177,2024-01-31,4040.147272727272,50.0
178,2024-02-29,4002.0588235294117,100.0
179,2024-03-31,4013.6111111111113,100.0
180,2024-04-30,3904.1633333333334,125.0
