,lower,upper,value,start
73,-3313495.103246237,3154438.103246237,-79528.50000000001,11
74,-3391463.2477306263,3229862.047730626,-80800.60000000002,11
75,-3470028.239584018,3305882.8395840176,-82072.70000000003,11
76,-3549185.5054659094,3382495.9054659097,-83344.80000000003,11
77,-3628930.5755756507,3459696.775575651,-84616.90000000004,11
78,-3709259.0798037564,3537481.0798037564,-85889.00000000004,11
79,-3790166.7440805696,3615844.5440805694,-87161.10000000005,11
80,-3871649.3869094397,3694782.9869094393,-88433.20000000006,11
81,-3953702.9160726145,3774292.316072614,-89705.30000000006,11
82,-4036323.3254989157,3854368.525498916,-90977.40000000007,11
83,-4119506.6922831507,3935007.6922831507,-92249.50000000007,11
84,-4203249.173847915,4016205.9738479145,-93521.60000000008,11
85,-4287547.005239173,4097959.605239173,-94793.70000000008,11
86,-4372396.496547615,4180264.896547615,-96065.80000000009,11
87,-4457794.03044836,4263118.23044836,-97337.9000000001,11
88,-4543736.0598521205,4346516.0598521205,-98610.0000000001,11
89,-4630219.105661421,4430454.90566142,-99882.10000000011,11
90,-4717239.754625894,4514931.354625894,-101154.20000000011,11
91,-4804794.6572911125,4599942.057291113,-102426.30000000012,11
92,-4892880.5260357745,4685483.726035774,-103698.40000000013,11
93,-4981494.133192388,4771553.133192388,-104970.50000000013,11
94,-5070632.30924699,4858147.109246989,-106242.60000000014,11
95,-5160291.941113613,4945262.541113612,-107514.70000000014,11
96,-5250469.97047962,5032896.37047962,-108786.80000000015,11
97,-5341163.392218161,5121045.592218161,-110058.90000000015,11
98,-5432369.252864313,5209707.252864313,-111331.00000000016,11
99,-5524084.649151656,5298878.449151655,-112603.10000000017,11
100,-5616306.7266062265,5388556.326606226,-113875.20000000017,11
101,-5709032.678195008,5478738.078195008,-115147.30000000018,11
102,-5802259.74302624,5569420.943026239,-116419.40000000018,11
103,-5895985.205099045,5660602.205099045,-117691.50000000019,11
104,-5990206.392099987,5752279.192099986,-118963.6000000002,11
105,-6084920.674244301,5844449.274244301,-120235.7000000002,11
106,-6180125.463159719,5937109.863159719,-121507.8000000002,11
107,-6275818.210810868,6030258.410810867,-122779.90000000021,11
108,-6371996.40846238,6123892.40846238,-124052.00000000022,11
109,-6468657.585678939,6218009.385678938,-125324.10000000022,11
110,-6565799.309360591,6312606.90936059,-126596.20000000023,11
111,-6663419.182811718,6407682.582811719,-127868.30000000024,11
112,-6761514.844842222,6503234.044842221,-129140.40000000024,11
113,-6860083.968899436,6599258.968899436,-130412.50000000025,11
114,-6959124.2622294985,6695755.062229497,-131684.60000000024,11
115,-7058633.465066849,6792720.065066849,-132956.70000000024,11
116,-7158609.349850699,6890151.7498507,-134228.80000000025,11
117,-7259049.720467301,6988047.9204673,-135500.90000000026,11
118,-7359952.411516938,7086406.411516938,-136773.00000000026,11
119,-7461315.287604632,7185225.087604631,-138045.10000000027,11
120,-7563136.242653549,7284501.842653548,-139317.20000000027,11
121,-7665413.199240223,7384234.599240223,-140589.30000000028,11
122,-7768144.107950678,7484421.307950677,-141861.40000000029,11
123,-7871326.946756631,7585059.946756631,-143133.5000000003,11
124,-7974959.720410976,7686148.5204109745,-144405.6000000003,11
125,-8079040.459861773,7787685.059861773,-145677.7000000003,11
126,-8183567.221684056,7889667.621684055,-146949.8000000003,11
127,-8288538.0875287205,7992094.28752872,-148221.9000000003,11
128,-8393951.163587881,8094963.163587881,-149494.00000000032,11
129,-8499804.580076048,8198272.380076048,-150766.10000000033,11
130,-8606096.490726523,8302020.090726522,-152038.20000000033,11
131,-8712825.072302451,8406204.47230245,-153310.30000000034,11
132,-8819988.52412202,8510823.72412202,-154582.40000000034,11
133,-8927585.067597194,8615876.067597194,-155854.50000000035,11
134,-9035612.945785591,8721359.745785592,-157126.60000000036,11
135,-9144070.422954978,8827273.022954976,-158398.70000000036,11
136,-9252955.784159912,8933614.18415991,-159670.80000000037,11
137,-9362267.33483013,9040381.534830129,-160942.90000000037,11
138,-9472003.40037028,9147573.40037028,-162215.00000000038,11
139,-9582162.325770542,9255188.125770543,-163487.10000000038,11
140,-9692742.47522781,9363224.075227808,-164759.2000000004,11
141,-9803742.231777055,9471679.631777054,-166031.3000000004,11
142,-9915159.996932503,9580553.196932502,-167303.4000000004,11
143,-10026994.19033834,9689843.19033834,-168575.5000000004,11
144,-10139243.249428548,9799548.049428549,-169847.6000000004,11
145,-10251905.629095651,9909666.229095649,-171119.70000000042,11
146,-10364979.801367998,10020196.201367997,-172391.80000000042,11
147,-10478464.25509536,10131136.45509536,-173663.90000000043,11
148,-10592357.495642547,10242485.495642547,-174936.00000000044,11
149,-10706658.04459074,10354241.84459074,-176208.10000000044,11
150,-10821364.439446393,10466404.039446391,-177480.20000000045,11
151,-10936475.233357348,10578970.633357346,-178752.30000000045,11
152,-11051988.994836003,10691940.194836002,-180024.40000000046,11
153,-11167904.307489298,10805311.307489298,-181296.50000000047,11
154,-11284219.76975529,10919082.569755292,-182568.60000000047,11
155,-11400933.994646112,11033252.59464611,-183840.70000000048,11
156,-11518045.609497136,11147820.009497134,-185112.80000000048,11
157,-11635553.25572214,11262783.45572214,-186384.9000000005,11
158,-11753455.588574298,11378141.588574298,-187657.0000000005,11
159,-11871751.276912786,11493893.076912787,-188929.1000000005,11
160,-11990439.002974894,11610036.602974892,-190201.2000000005,11
161,-12109517.462153435,11726570.862153433,-191473.3000000005,11
162,-12228985.36277929,11843494.562779289,-192745.40000000052,11
163,-12348841.425908972,11960806.425908972,-194017.50000000052,11
164,-12469084.385117041,12078505.185117042,-195289.60000000053,11
165,-12589712.986293212,12196589.58629321,-196561.70000000054,11
166,-12710725.987444041,12315058.38744404,-197833.80000000054,11
167,-12832122.158499075,12433910.358499074,-199105.90000000055,11
